model_name,quant_method,model_latency_speedup,end_to_end_latency_speedup,vision_latency_speedup,llm_latency_speedup,action_latency_speedup,peak_memory_reduction_percent,model_size_reduction_percent,effective_tflops_per_second,effective_tflops_per_second_improvement
openvla-7b-finetuned-libero-spatial:bf16,bf16,1.0,1.0,1.0,1.0,1.0,0.0,0.0,12.167972680942297,1.0
openvla-7b-finetuned-libero-spatial:w4a8,w4a8,1.285048749435938,1.2680707153328186,1.076223314182711,1.3020949734194405,1.0570174494895952,41.86364446988804,42.84194056568765,15.636438076815557,1.285048749435938
