step,model_name,quant_method,weight_bits,activation_bits,kv_cache_bits,data_ms,preprocess_ms,vision_ms,llm_ms,action_ms,model_latency_ms,end_to_end_latency_ms
0,openvla-7b-finetuned-libero-spatial:bnb_int8,bitsandbytes-Linear8bitLt,8,8,16,0.06292900070548058,11.917716998141259,6.777374015655369,101.15984696312808,0.17112301429733634,108.10834399308078,120.08898999192752
1,openvla-7b-finetuned-libero-spatial:bnb_int8,bitsandbytes-Linear8bitLt,8,8,16,0.05879500531591475,59.398511017207056,7.4935829907190055,103.05908005102538,0.165038974955678,110.71770201670006,170.17500803922303
2,openvla-7b-finetuned-libero-spatial:bnb_int8,bitsandbytes-Linear8bitLt,8,8,16,0.05711699486710131,2.7258119953330606,6.455094990087673,101.72568602138199,0.17139699775725603,108.35217800922692,111.13510699942708
3,openvla-7b-finetuned-libero-spatial:bnb_int8,bitsandbytes-Linear8bitLt,8,8,16,0.05551299545913935,2.2368640056811273,6.423187995096669,101.59881800063886,0.1679479901213199,108.18995398585685,110.48233098699711
4,openvla-7b-finetuned-libero-spatial:bnb_int8,bitsandbytes-Linear8bitLt,8,8,16,0.05498001701198518,2.268410025862977,6.4201210043393075,100.95387799083255,0.17175698303617537,107.54575597820804,109.869146021083
