step,model_name,quant_method,weight_bits,activation_bits,kv_cache_bits,data_ms,preprocess_ms,vision_ms,llm_ms,action_ms,model_latency_ms,end_to_end_latency_ms
0,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.0662469828967005,2.3132910137064755,6.631475000176579,99.44986400660127,0.16831999528221786,106.24965900206007,108.62919699866325
1,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.06276401109062135,90.06498000235297,6.571685982635245,100.41815700242296,0.15991300460882485,107.14975598966703,197.27750000311062
2,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.06274599581956863,2.6715420244727284,6.606879993341863,99.83661200385541,0.16970399883575737,106.61319599603303,109.34748401632532
3,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.06672999006696045,6.087165995268151,7.660296018002555,100.33146198838949,0.16088498523458838,108.15264299162664,114.30653897696175
4,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.06039798608981073,19.478592002997175,6.895155995152891,100.41040802025236,0.1650220074225217,107.47058602282777,127.00957601191476
