step,model_name,quant_method,weight_bits,activation_bits,kv_cache_bits,data_ms,preprocess_ms,vision_ms,llm_ms,action_ms,model_latency_ms,end_to_end_latency_ms
0,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.06407900946214795,92.02812798321247,6.79502499406226,87.5594459939748,0.20961501286365092,94.56408600090072,186.65629299357533
1,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.06391099304892123,2.3955340147949755,6.558566994499415,87.23574804025702,0.19677297677844763,93.99108801153488,96.45053301937878
2,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.061080994782969356,2.441796998027712,6.663353997282684,86.94308399572037,0.20232601673342288,93.80876400973648,96.31164200254716
3,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.05944599979557097,2.354512980673462,6.4871890062931925,87.19928795471787,0.19057802273891866,93.87705498374999,96.29101396421902
4,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.058636011090129614,97.63394098263234,6.71285399585031,87.37147602369078,0.23626998881809413,94.32060000835918,192.01317700208165
