step,model_name,quant_method,weight_bits,activation_bits,kv_cache_bits,data_ms,preprocess_ms,vision_ms,llm_ms,action_ms,model_latency_ms,end_to_end_latency_ms
0,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.06118198507465422,95.41896800510585,6.983864994253963,33.98698000819422,0.1462640066165477,41.117109009064734,136.59725899924524
1,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.06139700417406857,95.55452599306591,6.514057982712984,33.61125203082338,0.14865098637528718,40.27396099991165,135.88988399715163
2,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.06756099173799157,88.01225700881332,6.54232400120236,33.9902609703131,0.1422440109308809,40.67482898244634,128.75464698299766
3,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.06000199937261641,2.0633329986594617,6.182049983181059,33.66323100635782,0.1474370073992759,39.992717996938154,42.11605299497023
4,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.06561802001670003,2.130841981852427,6.401568010915071,33.44963298877701,0.1202569983433932,39.971457998035476,42.1679179999046
5,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.05195400444790721,2.0835430186707526,6.284900999162346,33.41955502401106,0.13016699813306332,39.83462302130647,41.97012004442513
6,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.05371199222281575,2.1250749996397644,6.244733987841755,33.42423299909569,0.12744401465170085,39.79641100158915,41.97519799345173
7,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.058667996199801564,93.3220740116667,6.418058997951448,33.5565929999575,0.13161299284547567,40.106264990754426,133.48700699862093
8,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.05675898864865303,90.87593099684455,6.555447995197028,33.535084017785266,0.14048299635760486,40.2310150093399,131.1637049948331
9,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.057613011449575424,2.1148820233065635,6.459149997681379,33.45773302135058,0.12256199261173606,40.03944501164369,42.21194004639983
