step,model_name,quant_method,weight_bits,activation_bits,kv_cache_bits,data_ms,preprocess_ms,vision_ms,llm_ms,action_ms,model_latency_ms,end_to_end_latency_ms
0,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.0828700140118599,2.3379479825962335,6.7533789842855185,100.5791730422061,0.20980997942388058,107.54236200591549,109.96318000252359
1,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.06721098907291889,2.2441979963332415,6.411198992282152,100.93590299948119,0.14475200441665947,107.49185399618,109.80326298158616
2,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.0580729974899441,97.7487970085349,6.613839999772608,101.41413300880231,0.17662200843915343,108.20459501701407,206.0114650230389
3,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.07228102185763419,95.67673999117687,6.516428984468803,101.26544200466014,0.1688470074441284,107.95071799657308,203.69973900960758
4,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.0641939986962825,95.87213300983422,6.780655006878078,101.03433500626124,0.1666409953031689,107.98163100844249,203.917958016973
