step,model_name,quant_method,weight_bits,activation_bits,kv_cache_bits,data_ms,preprocess_ms,vision_ms,llm_ms,action_ms,model_latency_ms,end_to_end_latency_ms
0,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.0573110010009259,4.46456199279055,6.675545999314636,101.89906699815765,0.17195899272337556,108.74657199019566,113.26844498398714
1,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.06361299892887473,2.1328979928512126,6.282949005253613,101.59578896127641,0.16728401533327997,108.0460219818633,110.24253297364339
2,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.06696800119243562,96.55118000227958,6.720169010804966,101.5638729732018,0.17251900862902403,108.45656099263579,205.0747089961078
3,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.06894601392559707,99.29081398877315,7.175662001827732,101.2494640017394,0.16374498954974115,108.58887099311687,207.94863099581562
4,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.06260001100599766,2.145179983926937,6.628809001995251,101.45872802240774,0.16341498121619225,108.25095200561918,110.45873200055212
0,openvla-7b-finetuned-libero-spatial:bnb_int8,bitsandbytes-Linear8bitLt,8,8,16,0.05999399581924081,67.59737501852214,6.828124984167516,178.64591401303187,0.1604180142749101,185.6344570114743,253.29182602581568
1,openvla-7b-finetuned-libero-spatial:bnb_int8,bitsandbytes-Linear8bitLt,8,8,16,0.06139502511359751,2.1560190070886165,6.4556490106042475,175.80990598071367,0.1616970112081617,182.42725200252607,184.6446660347283
2,openvla-7b-finetuned-libero-spatial:bnb_int8,bitsandbytes-Linear8bitLt,8,8,16,0.061058992287144065,73.83909699274227,6.590067001525313,177.69622599007562,0.16151400632224977,184.44780699792318,258.3479629829526
3,openvla-7b-finetuned-libero-spatial:bnb_int8,bitsandbytes-Linear8bitLt,8,8,16,0.06655501783825457,31.092363002244383,6.714097020449117,178.4219820110593,0.15960398013703525,185.29568301164545,216.4546010317281
4,openvla-7b-finetuned-libero-spatial:bnb_int8,bitsandbytes-Linear8bitLt,8,8,16,0.0613390002399683,60.362944001099095,6.5075859893113375,175.9532569849398,0.16951802535913885,182.63036099961028,243.05464400094934
0,openvla-7b-finetuned-libero-spatial:fp8,direct-fp8-tensorwise-scaled-mm,8,8,16,0.0623319938313216,7.414766005240381,7.114266976714134,79.22094705281779,0.15896998229436576,86.49418401182629,93.971282010898
1,openvla-7b-finetuned-libero-spatial:fp8,direct-fp8-tensorwise-scaled-mm,8,8,16,0.06385499727912247,2.181429008487612,6.454070011386648,76.07952499529347,0.1745040062814951,82.70809901296161,84.95338301872835
2,openvla-7b-finetuned-libero-spatial:fp8,direct-fp8-tensorwise-scaled-mm,8,8,16,0.06919499719515443,2.448638988425955,6.682632985757664,75.50898304907605,0.15879698912613094,82.35041302395985,84.86824700958095
3,openvla-7b-finetuned-libero-spatial:fp8,direct-fp8-tensorwise-scaled-mm,8,8,16,0.0630639842711389,78.07754701934755,6.572801008587703,76.31176899303682,0.1746320049278438,83.05920200655237,161.19981301017106
4,openvla-7b-finetuned-libero-spatial:fp8,direct-fp8-tensorwise-scaled-mm,8,8,16,0.0684209808241576,2.278850006405264,6.423026992706582,77.96399103244767,0.17930797184817493,84.56632599700242,86.91359698423184
