model_name,quant_method,model_latency_speedup,end_to_end_latency_speedup,vision_latency_speedup,llm_latency_speedup,action_latency_speedup,peak_memory_reduction_percent,model_size_reduction_percent,effective_tflops_per_second,effective_tflops_per_second_improvement
openvla-7b-finetuned-libero-spatial:bf16,bf16,1.0,1.0,1.0,1.0,1.0,0.0,0.0,12.193077957516115,1.0
openvla-7b-finetuned-libero-spatial:w4a8,w4a8,1.2127219473575255,1.0210646772020282,1.021697984192983,1.2066302618194358,1.0677436482559024,41.86364446988804,42.84194056568765,14.786813244921062,1.2127219473575255
