step,model_name,quant_method,weight_bits,activation_bits,kv_cache_bits,data_ms,preprocess_ms,vision_ms,llm_ms,action_ms,model_latency_ms,end_to_end_latency_ms
0,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.07227301830425858,2.0888099970761687,6.621199019718915,22.572838002815843,0.14007999561727047,29.33411701815203,31.495200033532456
1,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.0635659962426871,2.434767986414954,6.564782990608364,22.67665197723545,0.19984200480394065,29.441276972647756,31.939610955305398
2,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.06915099220350385,2.2572290035896003,6.274008017499,22.43690995965153,0.10610301978886127,28.81702099693939,31.143400992732495
3,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.05050000618211925,2.183589997002855,6.148865999421105,22.573400987312198,0.11034199269488454,28.832608979428187,31.06669898261316
4,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.04797300789505243,71.62670101388358,6.495427980553359,22.94693302246742,0.13431799015961587,29.576678993180394,101.25135301495902
5,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.06035700789652765,97.66182801104151,10.084380977787077,22.64241306693293,0.14490998000837862,32.87170402472839,130.59388904366642
6,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.05912798224017024,2.084618987282738,6.275605002883822,22.299689968349412,0.13151601888239384,28.706810990115628,30.850557959638536
7,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.055598007747903466,92.18586402130313,6.474233989138156,22.748274030163884,0.1388629898428917,29.361371009144932,121.60283303819597
8,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.06320400279946625,96.4594200195279,6.563738017575815,22.547867993125692,0.13788399519398808,29.249490005895495,125.77211402822286
9,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.062332983361557126,2.0962959970347583,6.202414981089532,22.423104994231835,0.11877602082677186,28.74429599614814,30.902924976544455
