step,model_name,quant_method,weight_bits,activation_bits,kv_cache_bits,data_ms,preprocess_ms,vision_ms,llm_ms,action_ms,model_latency_ms,end_to_end_latency_ms
0,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.060721009504050016,87.84524899441749,6.9505199790000916,110.8997049939353,0.16461900668218732,118.01484397961758,205.92081398353912
1,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.06669099093414843,77.90071899420582,6.996966985752806,112.32225002255291,0.1707199844531715,119.48993699275889,197.45734697789885
2,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.0,0.0,6.714799994369969,109.71809501643293,0.16923999646678567,116.60213500726968,116.60213500726968
3,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.0,0.0,6.378949998179451,103.88355000759475,0.16397997387684882,110.42647997965105,110.42647997965105
4,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.06758500239811838,88.00878597889096,9.016647993121296,111.67821601498872,0.18500798614695668,120.87987199425697,208.95624297554605
0,openvla-7b-finetuned-libero-spatial:w4a8,w4a8,4,8,16,0.05595001857727766,34.547956000315025,6.7878639965783805,90.1833940204233,0.1673429796937853,97.13860099669546,131.74250701558776
1,openvla-7b-finetuned-libero-spatial:w4a8,w4a8,4,8,16,0.0,0.0,6.482833006884903,77.6668089965824,0.1453300064895302,84.29497200995684,84.29497200995684
2,openvla-7b-finetuned-libero-spatial:w4a8,w4a8,4,8,16,0.0,0.0,6.443837017286569,78.96602296386845,0.16329900245182216,85.57315898360685,85.57315898360685
3,openvla-7b-finetuned-libero-spatial:w4a8,w4a8,4,8,16,0.06356099038384855,85.7825860241428,6.918530008988455,85.91229098034091,0.16140899970196187,92.99222998903133,178.83837700355798
4,openvla-7b-finetuned-libero-spatial:w4a8,w4a8,4,8,16,0.06092299008741975,85.85308100213297,6.871027988381684,88.51711200783029,0.17014300101436675,95.55828299722634,181.47228698944673
