step,model_name,quant_method,weight_bits,activation_bits,kv_cache_bits,data_ms,preprocess_ms,vision_ms,llm_ms,action_ms,model_latency_ms,end_to_end_latency_ms
11,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.05661498289555311,79.20801901491359,5.798154976218939,99.38542902818881,0.11610399815253913,105.29968800256029,184.56432200036943
12,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.05592798697762191,6.342488981317729,5.798906000563875,98.74416299862787,0.11697999434545636,104.6600489935372,111.05846596183255
13,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.05498001701198518,17.139967007096857,5.906100006541237,99.52648097532801,0.1160440151579678,105.54862499702722,122.74357202113606
14,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.05690299440175295,3.0523919849656522,5.690435005817562,99.88914197310805,0.10960700456053019,105.68918398348615,108.79847896285355
15,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.052844989113509655,98.26191898901016,6.000891007715836,98.9254480227828,0.11456297943368554,105.04090200993232,203.355665988056
16,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.05663398769684136,89.78180200210772,6.240784015972167,98.93599394126795,0.10933901648968458,105.2861169737298,195.12455296353437
17,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.05131700891070068,95.5780619988218,5.823300016345456,98.87093398720026,0.1132019970100373,104.80743600055575,200.43681500828825
18,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.05368600250221789,95.95093902316876,5.846019979799166,99.13129001506604,0.11354000889696181,105.09085000376217,201.09547502943315
19,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.05532600334845483,95.61256199958734,5.79575399751775,99.67222102568485,0.11183199239894748,105.57980701560155,201.24769501853734
20,openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.05471199983730912,98.31490099895746,7.741870998870581,99.28075401694514,0.1142539840657264,107.13687899988145,205.5064919986762
