model_name,quant_method,weight_bits,activation_bits,kv_cache_bits,data_ms_mean,data_ms_std,data_ms_p50,data_ms_p90,data_ms_p95,data_ms_min,data_ms_max,preprocess_ms_mean,preprocess_ms_std,preprocess_ms_p50,preprocess_ms_p90,preprocess_ms_p95,preprocess_ms_min,preprocess_ms_max,vision_ms_mean,vision_ms_std,vision_ms_p50,vision_ms_p90,vision_ms_p95,vision_ms_min,vision_ms_max,llm_ms_mean,llm_ms_std,llm_ms_p50,llm_ms_p90,llm_ms_p95,llm_ms_min,llm_ms_max,action_ms_mean,action_ms_std,action_ms_p50,action_ms_p90,action_ms_p95,action_ms_min,action_ms_max,model_latency_ms_mean,model_latency_ms_std,model_latency_ms_p50,model_latency_ms_p90,model_latency_ms_p95,model_latency_ms_min,model_latency_ms_max,end_to_end_latency_ms_mean,end_to_end_latency_ms_std,end_to_end_latency_ms_p50,end_to_end_latency_ms_p90,end_to_end_latency_ms_p95,end_to_end_latency_ms_min,end_to_end_latency_ms_max,peak_cuda_memory_mb,allocated_cuda_memory_mb,reserved_cuda_memory_mb,model_size_mb,theoretical_tflops,effective_tflops_per_second,speedup_vs_baseline,memory_reduction_vs_baseline,model_size_reduction_vs_baseline,tflops_mu,tflops_mu_tilde,tflops_flops_full,tflops_flops_prune,tflops_tflops_full,tflops_tflops_prune,tflops_flops_ratio,tflops_flops_reduction_percent
openvla-7b-finetuned-libero-spatial:bf16,bf16,16,16,16,0.05572858004597947,0.0038641161592574704,0.055262004025280476,0.06100900063756853,0.062467729730997235,0.0472610117867589,0.067966990172863,52.54873802914517,42.621511135290135,61.464754995540716,96.39652098994702,98.52390339947306,2.226861019153148,102.9658520128578,6.799267810129095,0.7073313752232344,6.594727004994638,7.832087308634073,8.347918081562966,6.1964080086909235,10.670577990822494,101.22734428936383,0.19723731652406126,101.22303101525176,101.46875861391891,101.52185018087039,100.61955099808984,101.65270301513374,0.17185985983815044,0.012905999739512682,0.17232850950676948,0.19004847854375842,0.1943457857123576,0.13511700672097504,0.20721601322293282,108.19847195933107,0.7418861776699073,107.97627599094994,109.29309090424795,109.82961509143934,107.26031800732017,112.20751501969062,160.80293856852222,42.720558870139826,170.4424664931139,204.37619511794765,207.09466436092043,109.73667894722894,212.24909398006275,14784.18115234375,14460.66796875,14842.0,14415.776245117188,1.424658530304,13.16708549118412,1.0,0.0,0.0,279,279.0,1424658530304,1424658530304.0,1.424658530304,1.424658530304,1.0,0.0
openvla-7b-finetuned-libero-spatial:bnb_int8,bitsandbytes-Linear8bitLt,8,8,16,0.05477682949276641,0.0037606558843334497,0.05347898695617914,0.05901578115299345,0.06040405423846096,0.04877499304711819,0.07064500823616982,50.163787569326814,41.778236006396845,53.26319798768964,97.0896341081243,98.01209441502579,2.2318199917208403,102.0594559959136,6.882626568258274,0.5940511515473876,6.74016099947039,7.884475585888142,8.356441456999164,6.332479999400675,9.02783399214968,180.76637617195956,2.1313860089620547,180.82198602496646,183.47671167575754,184.00243556534406,174.2134930100292,186.38825695961714,0.16231722082011402,0.005806021177963796,0.16116799088194966,0.16966800030786544,0.17214672698173672,0.1499170030001551,0.18549198284745216,187.81131996103795,2.3184061977488377,187.86911449569743,190.32857848505955,191.7160587341641,180.73049301165156,193.20028598303907,238.02988435985753,42.67628487292894,244.4994904799387,286.49315527291037,288.5724761959864,183.76396200619638,291.44212300889194,8613.33740234375,8289.85546875,8664.0,8239.776245117188,1.424658530304,7.585583928591471,0.5761019728830892,41.7395030973476,42.841952420646734,279,279.0,1424658530304,1424658530304.0,1.424658530304,1.424658530304,1.0,0.0
openvla-7b-finetuned-libero-spatial:bnb_nf4,bitsandbytes-Linear4bit-nf4,4,16,16,0.0540306928451173,0.0027454961858603003,0.05318249168340117,0.0578772189328447,0.0590525203733705,0.049717986257746816,0.06297900108620524,51.30266297084745,41.275911605963564,59.85781150229741,95.98338489886373,97.80798233987298,2.2399879817385226,102.20446699531749,6.867839939659461,0.5117210381818978,6.746496001142077,7.582404892309569,8.008492179214953,6.42490602331236,8.89559299685061,163.28413149312837,1.235429529409366,163.1474080204498,164.87094238982536,165.5382113356609,160.77340100309812,166.6302110243123,0.1603300977149047,0.006118504586518189,0.15941049787215889,0.16891940031200647,0.16989290015771985,0.14887901488691568,0.18071499653160572,170.31230153050274,1.337305645488962,170.16050648817327,172.19436001614667,172.76601180346915,167.8165190096479,173.48284600302577,221.6689951941953,41.58052276977627,229.30901100335177,266.71405440720264,268.4693739982322,171.14864100585692,273.05976700154133,5732.4443359375,5295.1376953125,5934.0,5151.7762451171875,1.424658530304,8.364977265302503,0.6352945206365663,61.22582456973797,64.26292863097011,279,279.0,1424658530304,1424658530304.0,1.424658530304,1.424658530304,1.0,0.0
